<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.04	17:00:00	1808.86	1810.96	1808.04	1809.96	4054	0	0
2022.07.04	18:00:00	1809.96	1809.98	1805.64	1806.49	2448	0	0
2022.07.04	19:00:00	1806.47	1807.07	1805.47	1806.83	1651	0	8
2022.07.04	20:00:00	1806.83	1807.29	1806.38	1806.69	580	0	10
2022.07.04	21:00:00	1806.69	1808.05	1806.52	1807.52	455	0	6
2022.07.05	01:00:00	1807.80	1809.34	1807.34	1809.24	721	0	11
2022.07.05	02:00:00	1809.24	1809.84	1808.30	1809.28	1643	0	9
2022.07.05	03:00:00	1809.29	1809.37	1806.58	1807.49	3125	0	3
2022.07.05	04:00:00	1807.56	1812.11	1807.46	1811.72	4165	0	0
2022.07.05	05:00:00	1811.72	1812.10	1809.06	1809.59	2511	0	0
2022.07.05	06:00:00	1809.57	1811.39	1809.42	1810.88	2260	0	0
2022.07.05	07:00:00	1810.86	1812.07	1810.47	1811.52	2316	0	0
2022.07.05	08:00:00	1811.41	1811.90	1810.24	1811.79	2798	0	0
2022.07.05	09:00:00	1811.78	1811.89	1808.20	1809.17	4730	0	0
2022.07.05	10:00:00	1809.14	1809.81	1805.63	1806.14	5035	0	0
2022.07.05	11:00:00	1806.06	1806.07	1800.63	1801.06	5867	0	0
2022.07.05	12:00:00	1801.06	1805.25	1800.37	1803.50	4684	0	0
2022.07.05	13:00:00	1803.50	1803.77	1800.75	1801.19	3380	0	0
2022.07.05	14:00:00	1801.22	1802.69	1797.45	1798.14	4472	0	0
2022.07.05	15:00:00	1798.14	1804.68	1796.31	1800.39	9401	0	0
2022.07.05	16:00:00	1800.38	1800.40	1785.37	1786.31	12297	0	0
2022.07.05	17:00:00	1786.29	1786.32	1766.39	1767.61	13004	0	0
2022.07.05	18:00:00	1767.63	1770.07	1765.00	1768.91	8301	0	0
2022.07.05	19:00:00	1768.91	1771.32	1765.82	1767.34	4796	0	0
2022.07.05	20:00:00	1767.33	1767.53	1763.93	1765.01	4982	0	0
2022.07.05	21:00:00	1765.01	1769.09	1764.79	1766.04	3116	0	0
2022.07.05	22:00:00	1766.04	1768.12	1765.59	1767.04	3321	0	0
2022.07.05	23:00:00	1766.95	1768.16	1765.41	1765.99	1495	0	0
2022.07.06	01:00:00	1767.02	1768.68	1766.72	1768.12	1064	0	11
2022.07.06	02:00:00	1768.13	1770.06	1767.83	1769.56	1554	0	8
2022.07.06	03:00:00	1769.56	1771.21	1768.72	1771.19	3297	0	0
2022.07.06	04:00:00	1771.18	1772.84	1768.31	1768.48	6028	0	4
2022.07.06	05:00:00	1768.48	1772.20	1768.38	1770.69	4311	0	11
2022.07.06	06:00:00	1770.66	1772.43	1769.20	1769.25	3397	0	0
2022.07.06	07:00:00	1769.21	1769.73	1765.94	1766.54	2980	0	0
2022.07.06	08:00:00	1766.53	1768.02	1763.06	1763.39	5127	0	6
